contractId,stockSymbol,buyerMemberId,sellerMemberId,contractQuantity,contractRate,contractAmount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,tradeTime,securityName
2026092203019003,RLEL,58,52,70,766.0,53620.0,2026-09-22,199361354,9324,Naasa Securities Co. Ltd.,Sundhara Securities Limited,2026-09-22T14:59:59.945923,Ridge Line Energy Limited
2026092204017287,UPPER,58,58,100,197.0,19700.0,2026-09-22,199361349,2792,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,2026-09-22T14:59:59.934469,Upper Tamakoshi Hydropower Ltd
2026092204017286,UPPER,58,14,13,197.0,2561.0,2026-09-22,199361345,2792,Naasa Securities Co. Ltd.,Nepal Stock House (PVT) Ltd.,2026-09-22T14:59:59.934268,Upper Tamakoshi Hydropower Ltd
2026092204017285,UPPER,58,58,930,197.0,183210.0,2026-09-22,199361341,2792,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,2026-09-22T14:59:59.934069,Upper Tamakoshi Hydropower Ltd
2026092204017284,UPPER,58,58,125,197.0,24625.0,2026-09-22,199361337,2792,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,2026-09-22T14:59:59.933666,Upper Tamakoshi Hydropower Ltd
2026092205019465,SIKLES,25,56,10,585.0,5850.0,2026-09-22,199361335,8126,Sweta Securities Private Limited,Sri Hari Securities Pvt. Ltd.,2026-09-22T14:59:59.928562,Sikles Hydropower Limited
2026092205019464,SIKLES,65,58,10,576.2,5762.0,2026-09-22,199361329,8126,Sharepro Securities Private Limited,Naasa Securities Co. Ltd.,2026-09-22T14:59:59.894499,Sikles Hydropower Limited
2026092204017283,CYCL,45,48,10,1452.0,14520.0,2026-09-22,199361324,8065,Imperial Securities Company Pvt. Ltd.,Trishakti Securities Public Limited,2026-09-22T14:59:59.819796,CYC Nepal Laghubitta Bittiya Sanstha Limited
2026092203019002,ALBSL,38,7,400,1192.0,476800.0,2026-09-22,199361320,2807,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,J.F. Securites (PVT) Ltd.,2026-09-22T14:59:59.785131,Asha Laghubitta Bittiya Sanstha Ltd
2026092205019463,MANDU,66,58,10,754.0,7540.0,2026-09-22,199361319,9212,Miyo Securities Pvt Ltd,Naasa Securities Co. Ltd.,2026-09-22T14:59:59.73178,Mandu Hydropower Limited
2026092203019001,SOPL,35,32,10,748.9,7489.0,2026-09-22,199361314,9336,Kohinoor Investment & Securities Pvt. Ltd.,Premier Securities Company Ltd.,2026-09-22T14:59:59.727746,Sopan Pharmaceuticals Limited
2026092203019000,RSML,4,13,20,2699.0,53980.0,2026-09-22,199361311,9306,Opal Securities Investment (PVT) Ltd.,Thrive Brokerage House Pvt. Ltd,2026-09-22T14:59:59.717961,Reliance Spinning Mills Limited
2026092205019462,SONA,46,45,10,404.0,4040.0,2026-09-22,199361307,9216,Kalika Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-09-22T14:59:59.717674,Sonapur Minerals And Oil Limited
2026092203018999,SNORL,58,58,10,970.0,9700.0,2026-09-22,199361299,9344,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,2026-09-22T14:59:59.712287,Snow Rivers Limited
2026092204017282,DHEL,51,14,10,564.0,5640.0,2026-09-22,199361292,9293,Oxford Securities Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,2026-09-22T14:59:59.70048,Daramkhola Hydro Energy Limited
2026092204017281,SHEL,47,33,200,307.4,61480.0,2026-09-22,199361291,2934,Neev Securities Pvt. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,2026-09-22T14:59:59.663916,Singati Hydro Energy Limited
2026092205019461,SHIVM,59,48,155,684.1,106035.5,2026-09-22,199361288,2809,Deevyaa Securities & Stock House Pvt. Ltd,Trishakti Securities Public Limited,2026-09-22T14:59:59.643188,SHIVAM CEMENTS LTD
2026092205019460,SHIVM,49,48,845,685.0,578825.0,2026-09-22,199361287,2809,Online Securities Pvt. Ltd.,Trishakti Securities Public Limited,2026-09-22T14:59:59.643113,SHIVAM CEMENTS LTD
2026092204017280,DLBS,35,22,10,1166.9,11669.0,2026-09-22,199361285,8123,Kohinoor Investment & Securities Pvt. Ltd.,Siprabi Securities Pvt. Ltd.,2026-09-22T14:59:59.564287,Dhaulagiri Laghubitta Bittiya Sanstha Limited
2026092201014936,MEPDL,7,58,10,685.4,6854.0,2026-09-22,199361282,9352,J.F. Securites (PVT) Ltd.,Naasa Securities Co. Ltd.,2026-09-22T14:59:59.504249,Mount Everest Power Development Limited
2026092203018998,SNORL,70,58,60,970.0,58200.0,2026-09-22,199361281,9344,Infinity Securities Limited,Naasa Securities Co. Ltd.,2026-09-22T14:59:59.473876,Snow Rivers Limited
2026092203018997,SNORL,70,41,10,960.0,9600.0,2026-09-22,199361278,9344,Infinity Securities Limited,Linch Stock Market Ltd.,2026-09-22T14:59:59.473851,Snow Rivers Limited
2026092203018996,SNORL,70,4,10,960.0,9600.0,2026-09-22,199361276,9344,Infinity Securities Limited,Opal Securities Investment (PVT) Ltd.,2026-09-22T14:59:59.473828,Snow Rivers Limited
2026092203018995,SNORL,70,58,10,960.0,9600.0,2026-09-22,199361274,9344,Infinity Securities Limited,Naasa Securities Co. Ltd.,2026-09-22T14:59:59.473807,Snow Rivers Limited
2026092203018994,SNORL,70,17,10,955.1,9551.0,2026-09-22,199361272,9344,Infinity Securities Limited,ABC Securities Private Limited,2026-09-22T14:59:59.473773,Snow Rivers Limited
2026092203018993,SNORL,70,42,10,955.0,9550.0,2026-09-22,199361270,9344,Infinity Securities Limited,Sani Securities Company Ltd.,2026-09-22T14:59:59.473747,Snow Rivers Limited
2026092203018992,SNORL,70,58,10,955.0,9550.0,2026-09-22,199361268,9344,Infinity Securities Limited,Naasa Securities Co. Ltd.,2026-09-22T14:59:59.473723,Snow Rivers Limited
2026092203018991,SNORL,70,49,20,955.0,19100.0,2026-09-22,199361266,9344,Infinity Securities Limited,Online Securities Pvt. Ltd.,2026-09-22T14:59:59.473698,Snow Rivers Limited
2026092203018990,SNORL,70,89,10,955.0,9550.0,2026-09-22,199361264,9344,Infinity Securities Limited,Global IME Securities Limited,2026-09-22T14:59:59.473644,Snow Rivers Limited
2026092203018989,YMHL,58,57,20,579.9,11598.0,2026-09-22,199361263,9342,Naasa Securities Co. Ltd.,Aryatara Investment & Securities,2026-09-22T14:59:59.423548,Yambaling Hydropower Limited
2026092205019459,HDL,33,48,50,1284.0,64200.0,2026-09-22,199361261,235,Dakshinkali Investment & Securities Pvt. Ltd.,Trishakti Securities Public Limited,2026-09-22T14:59:59.417114,Himalayan Distillery Limited
2026092203018988,BJHL,60,86,10,650.0,6500.0,2026-09-22,199361259,9322,Nagarik Stock Dealer ,Stoxkarts Securities Limited,2026-09-22T14:59:59.400763,Bhujung Hydropower Limited
2026092204017279,AKPL,83,57,300,257.7,77310.0,2026-09-22,199361257,2757,Sanima Securities Limited,Aryatara Investment & Securities,2026-09-22T14:59:59.379481,Arun Kabeli Power Ltd.
2026092204017278,AKPL,44,57,968,257.7,249453.6,2026-09-22,199361255,2757,Dynamic Money Managers Securities Pvt. Ltd.,Aryatara Investment & Securities,2026-09-22T14:59:59.379252,Arun Kabeli Power Ltd.
2026092201014935,NMB,74,57,298,259.0,77182.0,2026-09-22,199361252,238,KALASH STOCK MARKET PVT. LTD.,Aryatara Investment & Securities,2026-09-22T14:59:59.274718,NMB Bank Limited
2026092203018987,PROFL,52,47,10,395.0,3950.0,2026-09-22,199361485,338,Sundhara Securities Limited,Neev Securities Pvt. Ltd.,2026-09-22T14:59:59.234481,Progressive Finance Limited
2026092203018986,MERO,34,16,10,612.0,6120.0,2026-09-22,199361483,1741,Vision Securities Pvt. Ltd,Primo Securities (PVT) Ltd.,2026-09-22T14:59:59.176085,Mero Microfinance Bittiya Sanstha Ltd.
2026092203018985,CFCL,41,42,46,578.2,26597.2,2026-09-22,199361481,245,Linch Stock Market Ltd.,Sani Securities Company Ltd.,2026-09-22T14:59:59.158806,Central Finance Co. Ltd.
2026092203018984,CFCL,41,17,100,578.2,57820.0,2026-09-22,199361478,245,Linch Stock Market Ltd.,ABC Securities Private Limited,2026-09-22T14:59:59.158661,Central Finance Co. Ltd.
2026092203018983,CFCL,41,57,500,578.0,289000.0,2026-09-22,199361476,245,Linch Stock Market Ltd.,Aryatara Investment & Securities,2026-09-22T14:59:59.158565,Central Finance Co. Ltd.
2026092203018982,CFCL,41,42,354,578.0,204612.0,2026-09-22,199361474,245,Linch Stock Market Ltd.,Sani Securities Company Ltd.,2026-09-22T14:59:59.158348,Central Finance Co. Ltd.
2026092203018981,PCIL,42,57,69,615.0,42435.0,2026-09-22,199361472,9330,Sani Securities Company Ltd.,Aryatara Investment & Securities,2026-09-22T14:59:59.146195,Palpa Cement Industries Limited
2026092203018980,PCIL,49,57,10,615.0,6150.0,2026-09-22,199361471,9330,Online Securities Pvt. Ltd.,Aryatara Investment & Securities,2026-09-22T14:59:59.146066,Palpa Cement Industries Limited
2026092203018979,PCIL,64,57,25,615.0,15375.0,2026-09-22,199361469,9330,SUN SECURITIES PVT LTD,Aryatara Investment & Securities,2026-09-22T14:59:59.145943,Palpa Cement Industries Limited
2026092203018978,PCIL,32,57,15,615.0,9225.0,2026-09-22,199361467,9330,Premier Securities Company Ltd.,Aryatara Investment & Securities,2026-09-22T14:59:59.14581,Palpa Cement Industries Limited
2026092203018977,PCIL,25,57,100,615.0,61500.0,2026-09-22,199361465,9330,Sweta Securities Private Limited,Aryatara Investment & Securities,2026-09-22T14:59:59.145688,Palpa Cement Industries Limited
2026092203018976,PCIL,44,57,71,615.0,43665.0,2026-09-22,199361463,9330,Dynamic Money Managers Securities Pvt. Ltd.,Aryatara Investment & Securities,2026-09-22T14:59:59.145561,Palpa Cement Industries Limited
2026092203018975,PCIL,57,57,100,615.1,61510.0,2026-09-22,199361461,9330,Aryatara Investment & Securities,Aryatara Investment & Securities,2026-09-22T14:59:59.145432,Palpa Cement Industries Limited
2026092203018974,PCIL,1,57,100,615.1,61510.0,2026-09-22,199361459,9330,Kumari Securities Private Limited,Aryatara Investment & Securities,2026-09-22T14:59:59.145312,Palpa Cement Industries Limited
2026092203018973,PCIL,1,57,10,615.2,6152.0,2026-09-22,199361457,9330,Kumari Securities Private Limited,Aryatara Investment & Securities,2026-09-22T14:59:59.145056,Palpa Cement Industries Limited
2026092203018972,BJHL,14,86,10,650.0,6500.0,2026-09-22,199361455,9322,Nepal Stock House (PVT) Ltd.,Stoxkarts Securities Limited,2026-09-22T14:59:59.116025,Bhujung Hydropower Limited
2026092204017277,GHL,28,60,500,254.2,127100.0,2026-09-22,199361451,2806,Shree Krishna Securities Ltd.,Nagarik Stock Dealer ,2026-09-22T14:59:59.059165,Ghalemdi Hydro Limited
2026092205019458,SHIVM,49,6,200,685.0,137000.0,2026-09-22,199361439,2809,Online Securities Pvt. Ltd.,Agrawal Securities (PVT) Ltd.,2026-09-22T14:59:59.053918,SHIVAM CEMENTS LTD
2026092205019457,SHIVM,49,74,955,685.0,654175.0,2026-09-22,199361435,2809,Online Securities Pvt. Ltd.,KALASH STOCK MARKET PVT. LTD.,2026-09-22T14:59:59.053221,SHIVAM CEMENTS LTD
2026092204017276,API,45,56,10,338.9,3389.0,2026-09-22,199361423,697,Imperial Securities Company Pvt. Ltd.,Sri Hari Securities Pvt. Ltd.,2026-09-22T14:59:59.046326,Api Power Company Ltd.
2026092204017275,API,45,3,286,338.1,96696.6,2026-09-22,199361419,697,Imperial Securities Company Pvt. Ltd.,Arun Securities (PVT) Ltd.,2026-09-22T14:59:59.046277,Api Power Company Ltd.
2026092203018971,NLIC,34,53,85,755.0,64175.0,2026-09-22,199361452,187,Vision Securities Pvt. Ltd,Investment Management Nepal Pvt. Ltd.,2026-09-22T14:59:59.016615,Nepal Life Insurance Co. Ltd.
2026092203018970,NLIC,34,33,100,755.0,75500.0,2026-09-22,199361448,187,Vision Securities Pvt. Ltd,Dakshinkali Investment & Securities Pvt. Ltd.,2026-09-22T14:59:59.016556,Nepal Life Insurance Co. Ltd.
2026092203018969,NLIC,34,42,600,755.0,453000.0,2026-09-22,199361446,187,Vision Securities Pvt. Ltd,Sani Securities Company Ltd.,2026-09-22T14:59:59.016485,Nepal Life Insurance Co. Ltd.
2026092203018968,NLIC,34,58,140,755.0,105700.0,2026-09-22,199361444,187,Vision Securities Pvt. Ltd,Naasa Securities Co. Ltd.,2026-09-22T14:59:59.016401,Nepal Life Insurance Co. Ltd.
2026092203018967,NLIC,34,46,237,755.0,178935.0,2026-09-22,199361442,187,Vision Securities Pvt. Ltd,Kalika Securities Pvt. Ltd.,2026-09-22T14:59:59.016331,Nepal Life Insurance Co. Ltd.
2026092203018966,NLIC,34,40,20,755.0,15100.0,2026-09-22,199361438,187,Vision Securities Pvt. Ltd,Creative Securities Pvt Ltd,2026-09-22T14:59:59.01624,Nepal Life Insurance Co. Ltd.
2026092203018965,NLIC,34,26,100,755.0,75500.0,2026-09-22,199361434,187,Vision Securities Pvt. Ltd,Asian Securities Private Ltd.,2026-09-22T14:59:59.016176,Nepal Life Insurance Co. Ltd.
2026092203018964,NLIC,34,14,205,755.0,154775.0,2026-09-22,199361432,187,Vision Securities Pvt. Ltd,Nepal Stock House (PVT) Ltd.,2026-09-22T14:59:59.016101,Nepal Life Insurance Co. Ltd.
2026092203018963,NLIC,34,49,3000,755.0,2265000.0,2026-09-22,199361430,187,Vision Securities Pvt. Ltd,Online Securities Pvt. Ltd.,2026-09-22T14:59:59.016029,Nepal Life Insurance Co. Ltd.
